Genre,log_sales,Year,Platform
Role-Playing,2.2915241456346207,1996.0,GB
Simulation,2.4849066497880004,2005.0,DS
Role-Playing,1.9712993830601329,1999.0,GB
Action,2.329227023940467,2013.0,PS3
Action,0.33647223662121295,2004.0,PS2
Role-Playing,1.7083778602890038,2006.0,DS
Action,1.8421356765531218,2013.0,X360
Action,1.8702625307159986,2002.0,PS2
Role-Playing,1.589235205116581,2002.0,GBA
Role-Playing,1.4539530095937052,2010.0,DS
Role-Playing,1.7984040119467235,1998.0,GB
Role-Playing,1.6193882432872684,2013.0,3DS
Action,1.706564623164823,2001.0,PS2
Simulation,1.5085119938441398,2005.0,DS
Action,1.918392120161421,2014.0,PS4
Action,1.3270750014599193,2009.0,DS
Role-Playing,1.4747630091074988,2014.0,3DS
Action,1.410986973710262,2008.0,X360
Action,1.5602476682433286,2008.0,PS3
Role-Playing,1.2947271675944,2004.0,GBA
Role-Playing,1.244154593958768,1997.0,PS
Simulation,1.199964782928397,2012.0,3DS
Role-Playing,1.3506671834767394,2011.0,X360
Role-Playing,1.0508216248317612,2012.0,DS
Action,1.80005827204275,2012.0,PS3
Simulation,2.004179057179289,2009.0,PC
Role-Playing,1.1216775615991057,2001.0,PS2
Role-Playing,1.000631880307906,1999.0,PS
Role-Playing,1.0224509277025458,2008.0,DS
Action,1.3428648031925547,2005.0,PSP
Action,1.0612565021243408,1998.0,N64
Action,1.1600209167967532,2006.0,Wii
Role-Playing,1.423108334242607,2015.0,PS4
Action,1.33500106673234,2011.0,PS3
Action,1.1786549963416462,2009.0,PS3
Action,1.2837077723447896,2010.0,PS3
Role-Playing,1.3110318766193438,2011.0,PS3
Action,1.269760544863939,2012.0,PS3
Role-Playing,0.9477893989335261,2004.0,GBA
Role-Playing,0.7884573603642702,2002.0,PS2
Role-Playing,0.9400072584914712,2000.0,GB
Action,1.0885619528146082,2010.0,X360
Role-Playing,1.9754689512968577,2004.0,PC
Action,1.33500106673234,1999.0,PS
Action,1.1019400787607843,2001.0,PS2
Action,1.007957920399979,2008.0,PS3
Action,1.0402767116551463,1998.0,PS
Action,1.1878434223960523,2013.0,PS3
Role-Playing,0.0,2006.0,PS2
Role-Playing,0.5247285289349821,2009.0,DS
Action,0.9669838461896731,2007.0,Wii
Action,0.9042181506398859,1998.0,PS
Simulation,1.0784095813505903,2006.0,DS
Action,1.0818051703517284,2009.0,PS3
Action,1.0681530811834012,2011.0,PS3
Role-Playing,0.4510756193602166,2008.0,PSP
Role-Playing,0.8064758658669484,2009.0,PS3
Action,0.9969486348916096,2012.0,X360
Role-Playing,0.5709795465857378,2000.0,PS
Role-Playing,0.7323678937132266,2003.0,PS2
Action,0.9400072584914712,2009.0,X360
Action,1.2412685890696329,1997.0,PS
Role-Playing,0.5596157879354227,2004.0,PS2
Role-Playing,1.1474024528375417,2012.0,PC
Action,1.4996230464268938,2012.0,X360
Action,1.0402767116551463,2007.0,DS
Simulation,1.1052568313867783,2013.0,3DS
Role-Playing,0.7466879474879752,2010.0,X360
Simulation,0.9895411936137477,1996.0,PC
Action,0.8878912573524571,2009.0,PS3
Action,1.1019400787607843,2014.0,XOne
Action,1.1052568313867783,2006.0,PSP
Action,0.7701082216960736,1996.0,PS
Role-Playing,0.708035793053696,2008.0,X360
