Genre,log_sales,Year,Platform
Role-Playing,3.477232067938153,1996.0,GB
Simulation,3.248822901236153,2005.0,DS
Role-Playing,3.1822118404966093,1999.0,GB
Action,3.109060958860994,2013.0,PS3
Action,3.0823685802135374,2004.0,PS2
Role-Playing,2.963209081848431,2006.0,DS
Action,2.8553201198372458,2013.0,X360
Action,2.8419981736119486,2002.0,PS2
Role-Playing,2.8243506567983707,2002.0,GBA
Role-Playing,2.792391349535961,2010.0,DS
Role-Playing,2.7498317351171653,1998.0,GB
Role-Playing,2.731115474033206,2013.0,3DS
Action,2.6461747973841225,2001.0,PS2
Simulation,2.5855058483441162,2005.0,DS
Action,2.563409711275944,2014.0,PS4
Action,2.5572273113676265,2009.0,DS
Role-Playing,2.512035317176253,2014.0,3DS
Action,2.4865719291070616,2008.0,X360
Action,2.448415541205585,2008.0,PS3
Role-Playing,2.4414770918606643,2004.0,GBA
Role-Playing,2.372111155642656,1997.0,PS
Simulation,2.3115448343655176,2012.0,3DS
Role-Playing,2.286455711064162,2011.0,X360
Role-Playing,2.2332350148592526,2012.0,DS
Action,2.2235418856535927,2012.0,PS3
Simulation,2.209372711271867,2009.0,PC
Role-Playing,2.2027647577118348,2001.0,PS2
Role-Playing,2.1815467646169897,1999.0,PS
Role-Playing,2.179286876649552,2008.0,DS
Action,2.1656192379208883,2005.0,PSP
Action,2.151762203259462,1998.0,N64
Action,2.1174596088673567,2006.0,Wii
Role-Playing,2.0744289998562917,2015.0,PS4
Action,2.057962510002712,2011.0,PS3
Action,2.0451088625993306,2009.0,PS3
Action,2.028148247292285,2010.0,PS3
Role-Playing,2.0228711901914416,2011.0,PS3
Action,2.0149030205422647,2012.0,PS3
Role-Playing,2.0028304393079956,2004.0,GBA
Role-Playing,2.0014800002101243,2002.0,PS2
Role-Playing,2.0001277349601105,2000.0,GB
Action,1.9933388426264242,2010.0,X360
Role-Playing,1.9851308622085946,2004.0,PC
Action,1.9837562915454279,1999.0,PS
Action,1.9530276168241774,2001.0,PS2
Action,1.9501867058225735,2008.0,PS3
Action,1.9501867058225735,1998.0,PS
Action,1.944480556245719,2013.0,PS3
Role-Playing,1.9387416595767009,2006.0,PS2
Role-Playing,1.922787731634459,2009.0,DS
Action,1.9213246735826988,2007.0,Wii
Action,1.9198594718553708,1998.0,PS
Simulation,1.9050881545350582,2006.0,DS
Action,1.8825138324965192,2009.0,PS3
Action,1.8764069432883397,2011.0,PS3
Role-Playing,1.8718021769015913,2008.0,PSP
Role-Playing,1.8500283773520307,2009.0,PS3
Action,1.840549633397487,2012.0,X360
Role-Playing,1.840549633397487,2000.0,PS
Role-Playing,1.8389610707123492,2003.0,PS2
Action,1.8357763546448294,2009.0,X360
Action,1.8309801823813363,1997.0,PS
Role-Playing,1.8261608959453874,2004.0,PS2
Role-Playing,1.824549292051046,2012.0,PC
Action,1.8213182714695995,2012.0,X360
Action,1.8196988379172965,2007.0,DS
Simulation,1.8164520818184267,2013.0,3DS
Role-Playing,1.81319474994812,2010.0,X360
Simulation,1.8115620965242347,1996.0,PC
Action,1.809926773183504,2009.0,PS3
Action,1.8050046959780757,2014.0,XOne
Action,1.8050046959780757,2006.0,PSP
Action,1.80005827204275,1996.0,PS
Role-Playing,1.7850704810772584,2008.0,X360
Role-Playing,1.7850704810772584,2007.0,DS
Action,1.7817091333745536,2007.0,PS3
Action,1.7749523509116738,2007.0,DS
Role-Playing,1.7698546338400052,2010.0,PSP
Action,1.7647307968401356,2010.0,PS3
Action,1.7509374747078,2011.0,X360
Action,1.7457155307266483,2000.0,PS
Simulation,1.7369512327330598,2008.0,Wii
Action,1.7351891177396608,2002.0,PS2
Action,1.728109442151599,1996.0,PS
Action,1.7227665977411035,2002.0,GC
Action,1.7191887763932197,2013.0,3DS
Action,1.713797927758343,2014.0,PS4
Action,1.7011051009599243,2002.0,PS2
Role-Playing,1.6992786164338898,2000.0,PS
Action,1.6992786164338898,2015.0,PS4
Action,1.6956156086751528,2005.0,PS2
Role-Playing,1.6845453849209058,2006.0,X360
Role-Playing,1.673351238177753,2005.0,PS2
Role-Playing,1.6695918352538475,2008.0,X360
Action,1.6582280766035324,2009.0,PS3
Action,1.6563214983329508,2011.0,PS3
Action,1.6544112780768316,2004.0,PS2
Action,1.6505798557652755,2011.0,3DS
Action,1.6467336971777973,2011.0,X360
Action,1.6409365794934714,1997.0,PS
Action,1.6370530794670737,2014.0,PS4
Action,1.62924053973028,2011.0,Wii
Role-Playing,1.6272778305624314,2015.0,XOne
Role-Playing,1.6272778305624314,2007.0,PC
Role-Playing,1.6253112615903906,2010.0,X360
Action,1.623340817603092,2007.0,PS2
Role-Playing,1.6114359150967734,2008.0,PS3
Action,1.5933085305042167,2014.0,PS4
Action,1.5871923034867808,2013.0,PS3
Role-Playing,1.5871923034867808,2014.0,3DS
Role-Playing,1.5851452198650557,2011.0,PC
Role-Playing,1.5748464676644813,2009.0,DS
Simulation,1.57069708411767,2011.0,3DS
Action,1.5665304114228238,2015.0,PS4
Action,1.5644405465033644,2008.0,X360
Action,1.5623463049002497,1996.0,PS
Simulation,1.5602476682433286,2002.0,PC
Action,1.5539252025038417,2001.0,PS
Role-Playing,1.5539252025038417,2015.0,PS4
Action,1.551808799597464,1999.0,PS
Simulation,1.5454325824581878,2007.0,DS
Simulation,1.5325568680981427,1999.0,N64
Action,1.5303947050936475,2005.0,PS2
Simulation,1.528227857008557,2007.0,DS
Action,1.5260563034950492,2001.0,GC
Action,1.5129270120532565,2006.0,PS2
Action,1.5129270120532565,2002.0,PS2
Action,1.5129270120532565,1997.0,PS
Action,1.5107219394949425,2005.0,PS2
Action,1.5085119938441398,2000.0,PS
Action,1.506297153514587,2009.0,X360
Action,1.5040773967762742,2010.0,X360
Action,1.5040773967762742,2009.0,X360
Action,1.4951487660319727,2014.0,XOne
Role-Playing,1.4906543764441333,2013.0,3DS
Action,1.4861396960896067,1998.0,PS
Action,1.4838746894587547,2004.0,PS2
Action,1.4770487243883548,2008.0,X360
Action,1.4770487243883548,2015.0,PS4
Action,1.4770487243883548,2009.0,DS
Action,1.4724720573609429,2000.0,N64
Action,1.4678743481123135,2013.0,X360
Action,1.463255402256019,2005.0,PS2
Action,1.4539530095937052,2003.0,PS2
Action,1.4539530095937052,2015.0,PS4
Action,1.451613827240533,2003.0,PS2
Action,1.449269160281279,2015.0,3DS
Role-Playing,1.4398351280479207,2014.0,3DS
Role-Playing,1.4327007339340463,2007.0,PSP
Action,1.4327007339340463,2008.0,PSP
Role-Playing,1.4327007339340463,1995.0,SNES
Action,1.430311246536665,2003.0,PS2
