Genre,log_sales,Year,Platform
Simulation,0.06765864847381481,2006.0,DS
Action,0.19062035960864973,2009.0,PS3
Action,0.10436001532424277,2011.0,PS3
Role-Playing,1.6351056591826783,2008.0,PSP
Role-Playing,1.0543120297715298,2009.0,PS3
Action,0.0295588022415444,2012.0,X360
Role-Playing,1.3297240096314962,2000.0,PS
Role-Playing,1.1346227261911428,2003.0,PS2
Action,0.07696104113612832,2009.0,X360
Action,0.18232155679395465,1997.0,PS
Role-Playing,1.528227857008557,2004.0,PS2
Role-Playing,0.0,2012.0,PC
Action,0.0295588022415444,2012.0,X360
Action,0.6678293725756554,2007.0,DS
Simulation,1.0612565021243408,2013.0,3DS
Role-Playing,0.048790164169432,2010.0,X360
Simulation,0.0,1996.0,PC
Action,0.7323678937132266,2009.0,PS3
Action,0.0,2014.0,XOne
Action,0.1484200051182733,2006.0,PSP
Action,0.7466879474879752,1996.0,PS
Role-Playing,0.08617769624105233,2008.0,X360
Role-Playing,0.9321640810304452,2007.0,DS
Action,0.11332868530700317,2007.0,PS3
Action,0.0,2007.0,DS
Role-Playing,1.7698546338400052,2010.0,PSP
Action,0.11332868530700317,2010.0,PS3
Action,0.039220713153281295,2011.0,X360
Action,0.019802627296179712,2000.0,PS
Simulation,0.8415671856782186,2008.0,Wii
Action,0.07696104113612832,2002.0,PS2
Action,0.12221763272424921,1996.0,PS
Action,0.636576829071551,2002.0,GC
Action,0.7419373447293773,2013.0,3DS
Action,0.06765864847381481,2014.0,PS4
Action,0.0295588022415444,2002.0,PS2
Role-Playing,1.62924053973028,2000.0,PS
Action,0.07696104113612832,2015.0,PS4
Action,0.019802627296179712,2005.0,PS2
Role-Playing,0.12221763272424921,2006.0,X360
Role-Playing,0.8671004876833833,2005.0,PS2
Role-Playing,0.10436001532424277,2008.0,X360
Action,0.06765864847381481,2009.0,PS3
Action,0.09531017980432487,2011.0,PS3
Action,0.6043159668533294,2004.0,PS2
Action,0.4824261492442927,2011.0,3DS
Action,0.039220713153281295,2011.0,X360
Action,0.0,1997.0,PS
Action,0.10436001532424277,2014.0,PS4
Action,0.31481073984003355,2011.0,Wii
Role-Playing,0.009950330853168083,2015.0,XOne
Role-Playing,0.0,2007.0,PC
Role-Playing,0.039220713153281295,2010.0,X360
Action,0.039220713153281295,2007.0,PS2
Role-Playing,0.06765864847381481,2008.0,PS3
Action,0.07696104113612832,2014.0,PS4
Action,0.12221763272424921,2013.0,PS3
Role-Playing,1.2864740258376797,2014.0,3DS
Role-Playing,0.0,2011.0,PC
Role-Playing,0.5933268452777344,2009.0,DS
Simulation,0.5481214085096876,2011.0,3DS
Action,0.09531017980432487,2015.0,PS4
Action,0.0,2008.0,X360
Action,0.3852624007906449,1996.0,PS
Simulation,0.0,2002.0,PC
Action,0.13102826240640408,2001.0,PS
Role-Playing,0.19062035960864973,2015.0,PS4
Action,0.9321640810304452,1999.0,PS
Simulation,0.07696104113612832,2007.0,DS
Simulation,0.5068176023684519,1999.0,N64
Action,0.3784364357202451,2005.0,PS2
Simulation,0.09531017980432487,2007.0,DS
Action,0.3784364357202451,2001.0,GC
Action,0.06765864847381481,2006.0,PS2
Action,0.048790164169432,2002.0,PS2
Action,0.11332868530700317,1997.0,PS
Action,0.009950330853168083,2005.0,PS2
Action,0.0,2000.0,PS
Action,0.11332868530700317,2009.0,X360
Action,0.0295588022415444,2010.0,X360
Action,0.019802627296179712,2009.0,X360
Action,0.0,2014.0,XOne
Role-Playing,1.4906543764441333,2013.0,3DS
Action,0.0,1998.0,PS
Action,0.019802627296179712,2004.0,PS2
Action,0.0,2008.0,X360
Action,0.3920420877760237,2015.0,PS4
Action,0.5538851132264376,2009.0,DS
Action,0.5481214085096876,2000.0,N64
Action,0.009950330853168083,2013.0,X360
Action,0.0295588022415444,2005.0,PS2
Action,0.048790164169432,2003.0,PS2
Action,0.05826890812397577,2015.0,PS4
Action,0.019802627296179712,2003.0,PS2
Action,1.3297240096314962,2015.0,3DS
Role-Playing,1.430311246536665,2014.0,3DS
Role-Playing,0.5877866649021191,2007.0,PSP
Action,0.039220713153281295,2008.0,PSP
Role-Playing,1.4327007339340463,1995.0,SNES
Action,0.08617769624105233,2003.0,PS2
Role-Playing,0.09531017980432487,2010.0,PS3
Simulation,0.3220834991691133,2001.0,PS2
Simulation,0.688134638736401,2001.0,GC
Action,0.0,2008.0,DS
Action,0.019802627296179712,2000.0,PS
Role-Playing,0.13102826240640408,2007.0,PS3
Role-Playing,0.0295588022415444,2010.0,X360
Action,0.3784364357202451,2013.0,3DS
Simulation,0.0,2002.0,PC
Role-Playing,0.0295588022415444,2012.0,X360
Action,0.0,2008.0,X360
Action,0.019802627296179712,2008.0,X360
Action,0.0,2002.0,XB
Action,0.048790164169432,2014.0,PS4
Action,0.49469624183610705,2001.0,PS2
Simulation,0.8712933659434193,2015.0,3DS
Simulation,0.0,2014.0,PC
Role-Playing,0.0,2011.0,PC
Action,0.039220713153281295,2002.0,PS2
Action,0.11332868530700317,2009.0,PS3
Role-Playing,0.0295588022415444,2007.0,X360
Simulation,0.048790164169432,2007.0,Wii
Simulation,0.0,2007.0,DS
Role-Playing,0.0295588022415444,2002.0,XB
Action,0.0,2011.0,Wii
Action,0.10436001532424277,2010.0,PS3
Action,0.039220713153281295,2003.0,GBA
Simulation,0.0,2007.0,DS
Action,0.0,2008.0,X360
Role-Playing,1.085189268335969,2011.0,3DS
Action,0.06765864847381481,2014.0,PS4
Simulation,0.0,2003.0,PS2
Action,0.06765864847381481,2011.0,X360
Action,0.05826890812397577,2013.0,PS4
Action,0.2851789422336624,2002.0,GBA
Action,0.7371640659767197,2001.0,PS2
Action,0.009950330853168083,2006.0,PS2
Role-Playing,1.3029127521808397,2014.0,3DS
Role-Playing,0.636576829071551,2011.0,PS3
Role-Playing,0.0,2004.0,XB
Action,0.0,2006.0,DS
Action,0.0,2003.0,PS2
Action,0.0,2012.0,Wii
Action,0.11332868530700317,1996.0,N64
Action,0.0,2007.0,X360
Action,0.05826890812397577,2009.0,PS3
Simulation,0.6729444732424258,2008.0,DS
Action,0.039220713153281295,2002.0,PS2
Action,0.0295588022415444,2009.0,X360
Role-Playing,1.0116009116784799,2007.0,PSP
Role-Playing,0.0295588022415444,2009.0,X360
Role-Playing,0.5306282510621704,2003.0,GC
Action,0.1484200051182733,2000.0,N64
Action,0.07696104113612832,2013.0,PS3
Role-Playing,0.0,2006.0,X360
Action,0.16551443847757338,2011.0,PS3
Action,0.0,2003.0,XB
Action,0.0,2010.0,Wii
Action,0.05826890812397577,1998.0,PS
Role-Playing,0.8501509293696101,1997.0,PS
Simulation,0.0,2003.0,PS2
Action,0.5306282510621704,1998.0,PS
Action,0.039220713153281295,2013.0,PS3
Action,0.0,2011.0,X360
Action,0.0,2007.0,PS3
Action,0.23111172096338664,2015.0,PS4
Action,0.039220713153281295,2004.0,PS2
Action,0.0,2010.0,DS
Role-Playing,1.205970806988609,1998.0,GB
Action,0.29266961396282,2001.0,PS2
Simulation,0.0,2010.0,X360
Action,0.3852624007906449,2015.0,3DS
Action,0.039220713153281295,1997.0,PS
Role-Playing,1.1052568313867783,1995.0,SNES
Action,0.0,2013.0,X360
Action,0.0,2012.0,PC
Role-Playing,0.4824261492442927,2008.0,DS
Action,0.1397619423751587,2011.0,PS3
Action,0.0,1997.0,PC
Action,0.039220713153281295,2013.0,PS3
Action,1.1878434223960523,2015.0,3DS
Action,0.0,2008.0,PS3
Role-Playing,0.49469624183610705,2012.0,3DS
Action,0.13102826240640408,2007.0,Wii
Role-Playing,0.3784364357202451,2004.0,GC
Role-Playing,0.7178397931503169,2009.0,Wii
Action,0.0,2008.0,DS
Simulation,0.0,2009.0,PS2
Action,0.0,2003.0,PS2
Action,0.0,2013.0,XOne
Action,0.048790164169432,2006.0,PS2
Action,0.4382549309311553,2011.0,PS3
Action,0.019802627296179712,2006.0,X360
Role-Playing,0.0,2003.0,XB
Action,0.06765864847381481,2012.0,PS3
Role-Playing,1.1537315878891892,2000.0,GB
Role-Playing,0.5481214085096876,2006.0,DS
Role-Playing,0.3852624007906449,2003.0,GBA
