Genre,log_sales,Year,Platform
Role-Playing,0.0295588022415444,2014.0,3DS
Role-Playing,0.8544153281560676,2007.0,PSP
Action,0.9082585601768908,2008.0,PSP
Role-Playing,0.0,1995.0,SNES
Action,1.0224509277025458,2003.0,PS2
Role-Playing,0.9242589015233319,2010.0,PS3
Simulation,1.1184149159642893,2001.0,PS2
Simulation,1.0715836162801904,2001.0,GC
Action,1.0260415958332743,2008.0,DS
Action,0.9932517730102833,2000.0,PS
Role-Playing,0.9895411936137477,2007.0,PS3
Role-Playing,1.095273387402595,2010.0,X360
Action,0.8754687373538999,2013.0,3DS
Simulation,1.000631880307906,2002.0,PC
Role-Playing,1.0784095813505903,2012.0,X360
Action,1.0681530811834012,2008.0,X360
Action,1.0784095813505903,2008.0,X360
Action,1.0473189942805592,2002.0,XB
Action,0.6981347220709844,2014.0,PS4
Action,0.8586616190375187,2001.0,PS2
Simulation,0.3852624007906449,2015.0,3DS
Simulation,0.6729444732424258,2014.0,PC
Role-Playing,0.9477893989335261,2011.0,PC
Action,0.8586616190375187,2002.0,PS2
Action,1.0152306797290584,2009.0,PS3
Role-Playing,1.0402767116551463,2007.0,X360
Simulation,0.8878912573524571,2007.0,Wii
Simulation,0.832909122935104,2007.0,DS
Role-Playing,1.128171090909654,2002.0,XB
Action,0.8754687373538999,2011.0,Wii
Action,1.0543120297715298,2010.0,PS3
Action,0.9516578757114464,2003.0,GBA
Simulation,0.8415671856782186,2007.0,DS
Action,1.007957920399979,2008.0,X360
Role-Playing,0.3784364357202451,2011.0,3DS
Action,0.8197798314933114,2014.0,PS4
Simulation,0.8796267475025635,2003.0,PS2
Action,0.8109302162163288,2011.0,X360
Action,0.7275486072772778,2013.0,PS4
Action,1.0116009116784799,2002.0,GBA
Action,0.688134638736401,2001.0,PS2
Action,1.0473189942805592,2006.0,PS2
Role-Playing,0.0,2014.0,3DS
Role-Playing,0.5766133643039938,2011.0,PS3
Role-Playing,1.095273387402595,2004.0,XB
Action,0.9516578757114464,2006.0,DS
Action,0.7654678421395714,2003.0,PS2
Action,0.9400072584914712,2012.0,Wii
Action,1.0986122886681098,1996.0,N64
Action,0.9282193027394289,2007.0,X360
Action,0.9932517730102833,2009.0,PS3
Simulation,0.48858001481867097,2008.0,DS
Action,0.6418538861723948,2002.0,PS2
Action,0.712949807856125,2009.0,X360
Role-Playing,0.31481073984003355,2007.0,PSP
Role-Playing,1.0152306797290584,2009.0,X360
Role-Playing,0.7929925155296614,2003.0,GC
Action,0.9360933591703349,2000.0,N64
Action,0.4700036292457356,2013.0,PS3
Role-Playing,1.1908875647772805,2006.0,X360
Action,0.6205764877251099,2011.0,PS3
Action,1.0438040521731147,2003.0,XB
Action,0.8285518175661483,2010.0,Wii
Action,0.7654678421395714,1998.0,PS
Role-Playing,0.6575200029167941,1997.0,PS
Simulation,0.7275486072772778,2003.0,PS2
Action,0.5933268452777344,1998.0,PS
Action,0.7275486072772778,2013.0,PS3
Action,0.9082585601768908,2011.0,X360
Action,0.7030975114131134,2007.0,PS3
Action,0.6931471805599453,2015.0,PS4
Action,0.6729444732424258,2004.0,PS2
Action,0.7275486072772778,2010.0,DS
Role-Playing,0.0,1998.0,GB
Action,0.7323678937132266,2001.0,PS2
Simulation,0.8197798314933114,2010.0,X360
